"Country","LEBF20052","LEBM20052","maxINFM20052","GDPPCUS2005","HXPC2005","PctHXPUB2005","TotFertRate2005","AdolFertRt2005","FtoMPrimaryEnrl2005ONY","PctUrb2005","Sanitation2005ONY","ImprWaterUrb2005ONY","ImpWatRur2005ONY","FLFPR2005","MLFP2005","PopGr2005","PctPop0142005","PctPop65Pl2005"
"Costa Rica","76.12456475","71.32456475","5.528564754","4612.574871","343.6782491","68.8806845","2.099","72.25","98.7832768","61.7","95","100","90","43","81","1.6769676","28.3546062","5.835718"
"Cote d'Ivoire","52.11497589","49.30697589","83.81097589","850.2756827","33.2257894","21.8257745","4.861","132.7205","79.2875649","46.8","23","92","67","49.9","82.2","2.1292098","41.3166816","3.5947146"
"Croatia","66.20724613","59.20724613","1","10003.93532","704.2584123","86.0245348","1.41","14.4585","99.7908008","56.5","99","100","97","46.4","61.3","0.0676","15.9069716","17.0022811"
"Cyprus","83.17508053","78.53408053","5.268080533","22427.77463","1351.358571","43.5469689","1.538","7.3845","99.8711894","69.3","100","100","100","52.4","71.1","1.1207332","19.8022005","12.1600769"
"Czech Republic","81.08859005","74.75859005","5.338590047","12167.90381","882.2777655","87.3102672","1.28","11.567","98.7063746","73.5","98","100","100","50.6","68.6","0.193743","14.7488337","14.1496901"
"Denmark","84.90311693","80.36311693","8.803116929","47576.91708","4513.109306","83.7281294","1.8","6.313","99.8369944","85.9","100","100","100","60.5","71.4","0.2736581","18.7690899","15.1299304"
"Djibouti","57.11773348","54.26573348","80.02973348","880.6167378","60.0038385","72.5086761","4.222","25.946","81.684675","86.1","58","95","55","59.4","79.8","1.7667011","38.4408776","2.9716501"
"Dominican Republic","78.6616807","73.4986807","32.9006807","3566.816036","192.8050772","31.5803494","2.752","109.15","95.0815868","66.8","81","89","83","48.9","81.4","1.485483","33.0114664","5.563489"
"Ecuador","80.98794964","75.03894964","26.75194964","2846.845709","147.1419836","40.0433135","2.691","83.65","99.7087393","63.6","90","96","86","44.6","77.8","1.1019181","32.6139002","5.8914571"
"Egypt, Arab Rep.","65.21080303","61.73180303","19.08780303","1162.418662","72.8822146","37.5575372","3.013","43.75","94.1376346","42.6","93","100","96","22.8","73.3","1.8788058","33.3415787","4.4773164"
"El Salvador","70.23152226","60.69252226","14.18252226","2817.524899","200.3274695","52.4288539","2.431","87.3","97.5373006","59.8","85","94","73","44.9","78.2","0.3536115","35.0964583","6.5900756"
"Equatorial Guinea","46.03070854","43.48170854","89.45870854","13497.37832","185.5403519","71.7878821","5.503","125.7885","95.3176107","38.9","51","45","42","37.1","92.4","2.7207817","42.2490215","3.1852459"
"Eritrea","56.41982317","51.68782317","42.18882317","261.8831377","7.9144719","46.3353697","4.939","73.799","80.4907143","19.4","13","74","57","59.2","82.9","3.7952498","41.8599135","2.367854"
"Estonia","81.84822606","70.97822606","9.408226057","10328.5708","516.5060806","76.9251303","1.5","21.8445","97.5246424","69.4","95","99","97","53.1","65.2","-0.2150956","15.1723698","16.6679413"
"Ethiopia","56.31258813","53.38158813","77.97658813","164.809138","6.7638413","60.9080962","5.621","105.579","82.5603407","16.1","10","95","24","78.4","91","2.5979527","44.8157946","3.0680316"
"Fiji","75.43488905","70.97688905","20.53288905","3630.843005","148.387078","70.9212817","2.862","36.6365","97.9552543","50.8","71",NA,"51","39.1","78.6","0.625225","32.8856126","4.1802025"
"Finland","74.44319012","67.52319012","1","37289.84859","3163.875661","73.4740722","1.8","12.254","99.3375944","62.4","100","100","100","56.7","64.8","0.3428763","17.3839855","15.9511085"
"France","79.27818004","72.26818004","1","34227.97442","3926.682744","79.2570089","1.92","7.454","98.8154259","76.7","100","100","100","50.2","62.6","0.5796968","18.4275726","16.4636172"
"Gabon","56.84181865","53.57981865","51.82181865","6328.918657","289.7774656","67.2557109","3.544","98.482",NA,"83.6","33","95","43","67.4","82.1","1.9564551","38.6109993","4.429208"
"Gambia, The","55.6883889","52.5003889","83.5393889","302.0908797","18.4847414","56.9898268","5.285","97.875","102.4034998","53.9","65","94","83","70.7","85.8","2.9849985","42.8494016","2.781793"
"Georgia","73.49343","66.50543","26.53443","1469.973352","123.3590395","19.4933585","1.567","46.5625","98.1559013","52.5","95","99","92","55.4","73.3","-1.201942","18.427754","14.4414333"
"Germany","77.33695971","72.01695971","1","33811.20504","3628.177067","76.9649191","1.34","9.056","99.9426814","73.4","100","100","100","51.4","66.8","-0.0568","14.3216295","18.8614967"
"Ghana","55.8731888","53.9771888","53.7681888","489.1747119","35.3960678","42.1099786","4.421","70.131","96.5227201","47.8","11","89","68","73.4","75.6","2.214191","39.6566935","3.4939089"
"Greece","73.75702523","68.94702523","1","21880.08461","2099.693804","60.1115162","1.33","9.415","99.6309529","60.4","98","100","99","42.5","65","0.3812192","14.3534482","17.9931269"
"Grenada","77.71708835","74.74608835","15.63108835","5403.524311","318.699187","61.9047619","2.343","46.779","97.4347256","30.6","97","97",NA,"52.1","77.4","1.583339","29.3749147","6.5480604"
"Guatemala","73.53289897","66.50989897","35.48489897","2140.98643","129.5072032","36.1971495","4.379","111.3","92.3353412","47.2","78","97","88","44.9","87.4","2.4919287","43.1514481","4.2892859"
"Guinea","51.40347554","47.45347554","90.88647554","318.9017614","19.8722014","12.8201719","5.63","160.1415","81.7431437","33","17","89","57","79","89.5","1.9739756","43.3925135","3.0819559"
"Guinea-Bissau","54.31685012","51.16485012","126.8668501","204.951031","13.3238988","26.0687156","5.798","129.163",NA,"29.6","20","82","48","59.6","83.7","2.3835668","42.5178559","3.3979435"
"Guyana","60.58142692","54.57442692","24.91442692","1079.921227","74.8255414","87.0098039","2.382","66.605","98.8989203","28.2","80","96","90","45.3","81.8","0.1546033","31.0026786","5.673484"
"Haiti","68.67679079","64.39979079","76.91479079","441.4715679","19.4562161","21.2879944","3.753","49.45",NA,"42.7","19","70","53","57.3","82.3","1.6381605","38.0061362","4.1944673"
"Honduras","76.29483044","71.45083044","30.39483044","1415.594991","82.558014","64.8147806","3.498","97.8","99.4868553","46.5","66","95","74","40.5","83.9","2.0042565","39.8158426","4.1445351"
"Hungary","75.76020984","67.28020984","4.990209836","10924.44699","909.2734277","72.3007595","1.31","21.798","97.9910609","66.3","100","100","100","42.9","58.3","-0.1990275","15.5403673","15.6430017"
"Iceland","86.1469514","82.2269514","4.746951399","54934.61445","5195.630048","81.3639844","2.05","16.1615","97.3521009","92.2","100","100","100","72.7","82.9","1.580701","22.1000771","11.7261575"
"India","63.28404421","60.60604421","56.33504421","764.853213","30.403292","23.8438582","2.93","73.7545","95.8965276","28.7","28","95","81","32.4","81.7","1.3670615","33.0896605","4.5894836"
"Indonesia","60.99752179","57.16452179","23.07652179","1304.084183","25.4358217","45.82927","2.283","43.6295","96.5601734","48.1","49","90","70","50.6","86.1","1.2703164","28.3932868","5.5203138"
"Iran, Islamic Rep. of","74.00078312","71.44578312","32.83578312","2779.318026","179.6968004","49.0544199","1.949","21.2735","122.498403","66.9",NA,"98",NA,"30.8","74.2","1.484653","26.404646","5.0250156"
"Ireland","77.72703844","73.30703844","1","48466.1751","3574.32269","77.4722951","1.86","17.6305","99.5836575","60.5","99","100","100","52","72.7","2.2036613","20.4388371","10.9910124"
"Israel","77.05880895","73.05880895","1","19371.56471","1596.027874","57.9893664","2.84","15.0515","101.0334806","91.6","100","100","100","50.9","62.2","1.7628977","27.9160909","10.0972147"
"Italy","69.02142516","63.40142516","1","30332.42509","2746.817752","76.2252542","1.32","5.9615","99.0781362","67.6",NA,"100","100","37.7","61.1","0.739413","14.1918269","19.6481121"
"Jamaica","75.29183741","68.38083741","26.70783741","4207.563937","171.4047041","48.8125797","2.462","81.1645","96.8624387","52.7","83","98","88","56.7","75.1","0.4651611","31.4248828","7.6952662"
"Japan","92.6962287","85.7362287","10.0062287","35627.24664","2907.853884","82.6882887","1.26","5.265","99.9368409","66","100","100","100","48.4","73.4","0.00939","13.789651","19.9194025"
