"Country","LEBF20052","LEBM20052","maxINFM20052","GDPPCUS2005","HXPC2005","PctHXPUB2005","TotFertRate2005","AdolFertRt2005","FtoMPrimaryEnrl2005ONY","PctUrb2005","Sanitation2005ONY","ImprWaterUrb2005ONY","ImpWatRur2005ONY","FLFPR2005","MLFP2005","PopGr2005","PctPop0142005","PctPop65Pl2005"
"Nepal","60.14010077","59.03110077","42.46610077","298.6700377","18.087213","24.6054194","3.237","108.459",NA,"15.8","28","93","85","61.7","80.6","2.0246797","38.9929417","3.7565065"
"Netherlands, The","80.0888101","75.6188101","2.868810097","39122.33423","3577.86152","64.9173584","1.71","4.51","97.4811719","80.2","100","100","100","56.6","72.4","0.2338374","18.3496935","14.1500412"
"New Zealand","79.16145223","75.16145223","2.761452233","26391.17696","2357.067295","76.894688","2","24.84","99.7674451","86.2",NA,"100","100","60.3","74.9","1.1287735","21.5064193","12.1304234"
"Nicaragua","77.31453327","71.23153327","28.83753327","893.2628152","70.832695","56.4597964","2.846","116.05","97.4412454","55.9","50","97","66","43.4","81.1","1.2697185","37.7757911","4.1262161"
"Niger","48.00123664","46.42023664","85.92523664","254.161591","15.3235008","51.0081958","7.267","186.5045","72.4524583","16.3","9","89","37","38.9","87.6","3.6211154","48.9493728","1.990622"
"Nigeria","42.67524426","41.65324426","92.20324426","796.7755867","52.7756365","29.3921776","5.704","128.5265","83.590351","46.2","32","76","40","38.7","73.7","2.3957399","43.0860697","3.0524429"
"Norway","79.35328779","74.42328779","1","65324.02673","5941.699818","83.5424004","1.84","9.089","100.371279","77.3","100","100","100","61.3","71","0.6803965","19.6367925","14.5143208"
"Oman","84.92739065","81.81239065","20.61139065","11805.59332","312.1942186","81.9795107","3.364","11.9465","100.1034994","71.5",NA,"90","76","24.7","77.9","1.8455374","33.8924217","2.5574206"
"Pakistan","66.93062608","66.25662608","77.41962608","703.59243","18.4601491","25.4035062","4.21","46.9865","75.9436619","34.9","41","95","86","19.4","84.4","2.4109914","38.5497119","3.8110502"
"Panama","76.24177276","71.08677276","15.82477276","4785.42677","358.1171572","69.558455","2.635","85.8","97.0666688","70.8","68","97","83","48","81.1","1.7497339","30.3589465","5.9945712"
"Papua New Guinea","64.61375758","60.24675758","56.53975758","801.1478725","33.8594054","86.5021862","4.229","62.8765","84.2995711","12.6","47","87","33","71.6","74.2","2.477011","40.7125982","2.3911764"
"Paraguay","75.59818788","71.39518788","24.05318788","1265.757939","85.3507755","47.2973927","3.275","77.3","97.1467862","58.5","68","98","63","54.6","85.6","1.900484","35.8246862","4.7681167"
"Peru","75.49534014","70.11634014","25.76534014","2851.892571","127.0540287","59.4132208","2.693","58.1","99.5248608","71.1","66","90","58","57.2","76.2","1.2598424","31.9492108","5.3858275"
"Philippines","77.32070276","72.91970276","31.51770276","1155.948609","42.5797485","35.6727186","3.215","46.7935","98.8125633","62.7","73","93","85","49.4","79.5","1.8707675","35.5679604","3.8539569"
"Poland","80.52593592","71.94593592","7.695935922","7963.022594","493.6848136","69.3659895","1.24","14.5505","99.6521864","61.5","90","100","100","47.8","62.8","-0.0439","16.3328721","13.2518735"
